,,,Account details,,,,,,,Payment details,,,,,,,,,,,Account health,,,,,,,,Account decision,,,
Facilities,Parent,n10,Account Status,# Net Terms,Timezone,Autopay,Payment cycle,Last payment method,na,Past Due Balance,# of Past Due Invoices,Total Outstanding Balance,# Outstanding  Invoices,Broken P2P Count,Broken P2P Balance,Boken/Underpaid Invoice numbers,Open Credits,Total Open P2P,Next Invoice Due date,na1,# of pend/suspend cycles last 6-months,Total Count of Past Due in 7 Days,% of Past due/Total AR,Total ineligible,Near ineligible,Facility Payment Score,Payment Category,na3,Automated pend/suspend reccomendation,Action Decision for the Week,"Action plan
(Tell your story - Explain your Situation, Task, Action , Resolution where possible)",TL comments/questions
Avina of Fond du Lac,AA Healthcare Management (Parent),,ENROLLED,30,,,Monthly,check,," $ 12,095.01 ",3," $ 30,121.07 ",7,,,,,,1/21/2026,,,1,40.15%, $ -   , $ -   ,43,Bad Payer,,One-off Billing Handling,,,
Avina of Milwaukee,AA Healthcare Management (Parent),,ENROLLED,30,,,Weekly,check,," $ 21,910.06 ",3," $ 67,346.15 ",7,,,,,,1/21/2026,,,1,32.53%, $ -   , $ -   ,52,Ok Payer,,Suspension,,,
Northbrook Health And Rehabilitation,AA Healthcare Management (Parent),,ENROLLED,30,,,Weekly,check,," $ 8,757.29 ",1," $ 44,835.76 ",6,,,,,,1/21/2026,,,1,19.53%, $ -   , $ -   ,90,Good Payer,,One-off Billing Handling,,,
Waukegan Health and Rehab,AA Healthcare Management (Parent),,ENROLLED,30,,,Monthly,check,, $ -   ,0," $ 3,850.13 ",4,,,, $ 237.25 ,,1/21/2026,,,1,0.00%, $ -   , $ -   ,86,Good Payer,,One-off Billing Handling,,,
Avina of Mayville,AA Healthcare Management (Parent),,ENROLLED,30,,,Weekly,check,, $ -   ,0," $ 12,452.76 ",3,,,,,,1/21/2026,,,1,0.00%, $ -   , $ -   ,100,Good Payer,,One-off Billing Handling,,,
Avina on Division,AA Healthcare Management (Parent),,ENROLLED,30,,,Weekly,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,98,Good Payer,,One-off Billing Handling,,,
Aria of Weyauwega,AA Healthcare Management (Parent),,ENROLLED,30,,,Bi-Weekly,check,, $ -   ,0," $ 19,224.50 ",4,,,," $ 1,343.54 ",,1/21/2026,,,1,0.00%, $ -   , $ -   ,96,Good Payer,,One-off Billing Handling,,,
Crossroads Care Center Of West Green Bay,AA Healthcare Management (Parent),,ARCHIVED,30,,,Weekly,check,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,65,Ok Payer,,One-off Billing Handling,,,
Aria Of Brookfield,AA Healthcare Management (Parent),,ENROLLED,30,,,Insufficient Data,No Data Found,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,96,Good Payer,,One-off Billing Handling,,,
 Inverness Rehab,AA Healthcare Management (Parent),,ENROLLED,,,,Weekly,check,, $ -   ,0," $ 37,905.48 ",5,,,," $ 1,423.64 ",,1/21/2026,,,1,0.00%, $ -   , $ -   ,#N/A,#N/A,,One-off Billing Handling,,,
Avant Rehabilitation And Care Center,Accela Healthcare (Parent Account),,ENROLLED,30,,,Bi-Weekly,ach,," $ 41,733.63 ",2," $ 113,596.28 ",6,"Broken P2P: 0
Open P2P: 1
Underpaid P2P: 0","Broken: $0.00
Underpaid: $0.00
Oldest Expected P2P: 01-19-26",, $ 370.25 ,"$19,349.82",1/23/2026,,,1,36.74%," $ 21,646.01 "," $ 19,349.82 ",36,Bad Payer,,Pending,,,
Accela Post Acute Care At Hamilton,Accela Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 72,682.65 ",7," $ 146,418.14 ",11,"Broken P2P: 0
Open P2P: 2
Underpaid P2P: 0","Broken: $0.00
Underpaid: $0.00
Oldest Expected P2P: 01-19-26",,,"$32,955.59",1/16/2026,,,1,49.64%," $ 18,892.68 "," $ 25,609.64 ",26,Bad Payer,,Suspension,,,
Avalon Rehabilitation And Care Center - Wayne Garden Group,Accela Healthcare (Parent Account),,ENROLLED,30,,,Weekly,direct_debit,, $ -   ,0," $ 44,054.45 ",3,,,," $ 13,196.86 ",,1/23/2026,,,1,0.00%, $ -   , $ -   ,75,Ok Payer,,Keep Enrolled,,,
Excelcare At Manalapan,Accela Healthcare (Parent Account),,ENROLLED,30,,,Weekly,other,," $ 182,810.34 ",8," $ 314,990.30 ",12,"Broken P2P: 0
Open P2P: 0
Underpaid P2P: 1","Broken: $0.00
Underpaid: $12,640.09
Oldest Expected P2P: 12-31-25",506439-1,,,1/16/2026,,,1,58.04%," $ 12,640.09 "," $ 42,297.37 ",32,Bad Payer,,Suspension,,,
Accela Rehab And Care Center At Springfield,Accela Healthcare (Parent Account),,ENROLLED,30,,,Insufficient Data,ach,," $ 166,278.24 ",9," $ 293,428.88 ",14,,,,,,1/16/2026,,,1,56.67%," $ 13,887.79 "," $ 89,467.75 ",34,Bad Payer,,Suspension,,,
Autumn Lake Healthcare At Old Bridge,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Insufficient Data,check,," $ 239,409.37 ",7," $ 389,344.41 ",11,,,, $ 416.60 ,,1/21/2026,,,1,61.49%, $ 126.09 ," $ 77,836.54 ",45,Bad Payer,,Suspension,,,
The Subacute At Autumn Lake Healthcare,Autumn Lake Healthcare (Parent Account),,ENROLLED,30,,,Weekly,check,," $ 295,702.74 ",10," $ 433,768.43 ",15,,,," $ 61,217.33 ",,1/21/2026,,,1,68.17%," $ 70,094.28 "," $ 110,891.41 ",41,Bad Payer,,Suspension,,,
