WORKSTREAM GENERATED ON:,DATE at TIME: 12/10/25  6:10am PST,,,,,,,,,,,,,,,,,,,,,,
SFID,HCF Name,Parent Account,PAYER STATUS,Current Status,Recommended Status,Pending notice banner enabled on CBH App?,Pending notice banner enforcement date,Main reason and question (at the time of reporting on Tuesday afternoon),BR/CAM Name,Answer to question from Column I,BR/CAM decision to take next Tues,BR/CAM Action Plan,Manager Name,Manager Decision,"Manager Grading
Did the BR/CAM execute? Do you agree with the plan for this week?","Manager Notes
Please elaborate on your decision. If applicable, explain why you graded a ""fail"". ",Automatic grade,Net Terms,Total Past-Due Balance,Total # of Past-Due Invoices,Total # of Past-Due Invoices in 7 Days,Total # of Outstanding Invoices,Total Outstanding Balance
0015w000029XiIMAA0,Alden Long Grove Rehabilitation & Health Care Center,,Ok Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,,Keep enrolled,"Context: Alden invoices are typically paid in partial payments across two batches as part of their internal process. The remaining balance for the past-due invoice for this workplace was issued in the 12/11 check run, with an expected P2P date of 12/29. 
Next Invoice is due on: 12/31",,Keep enrolled,Pass,,Pass,,,,,,
0015w000029Xg4nAAC,"Alden Estates Of Barrington, Inc",,Good Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,,Keep enrolled,"Context: Alden invoices are typically paid in partial payments across two batches as part of their internal process. The remaining balance for the past-due invoice for this workplace was issued in the 12/11 check run, with an expected P2P date of 12/29. 
Next Invoice is due on: 12/31",,Keep enrolled,Pass,,Pass,,,,,,
001Pf00000ESq5rIAD,Visitation Catholic School,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,NET15. Oldest invoice is 34 days old,Send PENDING notice,Nicole said that she was out of town when the invoices were issued but she thought she was able to submit them to their billing. She will resubmit them again for payment. I will inform Steven/Brooke that the account is at risk of pending status on 12/22 if no update is received by then.,,Send PENDING notice,Pass,Aligned to send pend notice today for strict implementation on 12/22,Pass,,,,,,
001Pf00000Y4qPRIAZ,Sinam LLC,,Bad Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,NET15. Oldest invoice is 44 days old with partial P2P,Enforce PENDING status,"The account is at risk of pending status today, 12/15. Peggy sent to us $5k and said that it will be applied starting from the oldest invoices. Denise said that next payment is on 12/19 because she had to assist her husband in hospital but, since the previous payment does not cover completely the invoice 518344-1, I told her that the account could get on pending status again on 12/15. She said that she will ask Belinda to provide us a payment update. 
",,Enforce PENDING status,Pass,Aligned to pend the account this week,Pass,,,,,,
0015w00002fsWBPAA2,The Haven at Lee,,Good Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,"Acc is on NEt 30, will send a pend warning today",SEND Pending Notice, sent pend notice ask why there is a delay and chase for payment,,Send PENDING notice,Pass,Aligned,Pass,,,,,,
001Pf00000BFrYwIAL,Dimensions Living Wausau,,Good Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,"Pending action moved to 12/18. Update on Monday, Dec. 8 - the delay happened because the skipped invoices (512173-1, & 516694-1) were not received by the main AP system at Hdg.hdg-227@invoices.dssi.net. Copies were resent 12/18. I will follow up with you whether a check was issued this Friday, Dec. 12.
Acc on NET45
2 Past Due: $2,647.59
Oldest Invoice: 55 days old. ",Enforce PENDING Status,"Pending action moved to 12/18. Update on Monday, Dec. 8 - the delay happened because the skipped invoices (512173-1, & 516694-1) were not received by the main AP system at Hdg.hdg-227@invoices.dssi.net. Copies were resent 12/18. I will follow up with you whether a check was issued this Friday, Dec. 12.
Acc on NET45
2 Past Due: $2,647.59
Oldest Invoice: 55 days old. 
",,Enforce PENDING status,Pass,Aligned,Pass,,,,,,
0015w00002JZT3sAAH,The Stewart House Retirement Living,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Contineu chasing - with 2 past due invoices and oldest is 28 days old,Keep enrolled,12/12 sent payment reminder email,,Keep enrolled,Pass,,Pass,,,,,,
0015w00002fsWXMAA2,The Landing A Senior Living Community,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Net 15. 3 past due invoices oldest 34 days,Send PENDING notice,Send pending notice today,,Send PENDING notice,Pass,Aligned to send pend notice today for strict implementation on 12/22,Pass,,,,,,
0015w00002tBNzaAAG,Keela House,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"12/15- 2PD and 1 ND, and in 7d will be 3 Pd and oldest is >40d, Send Pend Notice for 12/22",SEND Pending Notice,"12/15- 2PD and 1 ND, and in 7d will be 3 Pd and oldest is >40d, Send Pend Notice for 12/22",,Send PENDING notice,Pass,Aligned,Pass,,,,,,
001Pf00000ZVWPGIA5,Ambitions Home Health,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Pend alert set for 12/15 enforcement has been turned off following the workplace's payment this week,Keep enrolled,Send payment reminder for past due and near-due invoices ,,Keep enrolled,Pass,Aligned to keep active,Pass,,,,,,
